client_name,post_url,source,post_date,author,raw_text,language,rating,sentiment,feedback_type,product_area,severity,engagement,agreement_signal,claude_summary,scraped_at,valify_scope
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=9bc36a01-f780-4309-aca5-5eb190055cb3,play_store,2026-05-24T16:13:09+00:00,Nadia Mohamed,تجربه سيئه جداا منصحش حد يطلب من عليه خالص تعامل مندوبين الشحن في منتهي السوء ..,ar,1,negative,off_topic,other,none,"likes:0, comments:0",false,"User complains about delivery or courier service, unrelated to ID verification.",2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=eb107fb9-5f03-4fe6-bf1d-c989088af5af,play_store,2026-05-24T12:55:31+00:00,farah al-nasser,ممتازه,ar,5,positive,off_topic,other,none,"likes:0, comments:0",false,User gives a positive general rating with no KYC-related content.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=2603202f-3cae-45f8-863a-08d49da85625,play_store,2026-05-24T11:37:14+00:00,نور سعيد نور سعيد,جيد لجميع الاعمار,ar,3,positive,off_topic,other,none,"likes:0, comments:0",false,General app feedback unrelated to ID verification or the return flow.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=568b3370-19d5-421a-88c9-7ebb05df33df,play_store,2026-05-24T09:52:02+00:00,Eslam Taher,مفيش حاجه رخيصه,ar,1,negative,off_topic,other,none,"likes:0, comments:0",false,"User comments on pricing or product value, unrelated to verification.",2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=96ad534c-26f2-4d48-a18f-d6562da8b774,play_store,2026-05-24T09:17:21+00:00,محمد نصر بشندى,ممتاز,ar,5,positive,off_topic,other,none,"likes:0, comments:0",false,User gives a positive general rating with no KYC-related content.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=95b359c4-9ad5-4df7-b3ff-0047a43ef018,play_store,2026-05-24T05:22:28+00:00,Masod Wisam,معمله سلسا,ar,5,positive,off_topic,other,none,"likes:0, comments:0",false,User gives a positive general rating with no KYC-related content.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=5a3a61ea-e555-4948-82c1-50b6577b9053,play_store,2026-05-24T04:22:28+00:00,Mohamed Amir,جيد جدا,ar,5,positive,off_topic,other,none,"likes:0, comments:0",false,User gives a positive general rating with no KYC-related content.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=9f8ebae1-1f4c-42fe-a249-c8e78a245ac7,play_store,2026-05-23T21:55:48+00:00,KBTN JOKR,لو يمديني احطه بدون نجوم كان حطيته اطلب طلبيه يقول بكره تجي يجي بكره يقول بكره تجي يجي من بكره ثاني يقول بعد يومين تجي اجي الغي الطلب يقول بعد ثلاث ايام نرجع الفلوس نضام زق و طرق ملتويه واخر مره اشري منه,ar,1,negative,off_topic,other,none,"likes:0, comments:0",false,User leaves a negative review unrelated to identity verification.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=912d91b9-051e-49bd-aa02-270367ea2ed5,play_store,2026-05-23T20:52:29+00:00,Mahenaz Mohsen,ممتاز جدا والتوصيل في الميعاد,ar,5,positive,off_topic,other,none,"likes:0, comments:0",false,"User complains about delivery or courier service, unrelated to ID verification.",2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=5a6a8bd8-a286-434a-8e66-96ac08d50ece,play_store,2026-05-23T20:42:17+00:00,حسين النامسي,ممتاز,ar,5,positive,off_topic,other,none,"likes:0, comments:0",false,User gives a positive general rating with no KYC-related content.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=a67103c2-5e99-4f80-9202-7cd3fb94c753,play_store,2026-05-23T20:13:25+00:00,Mostafa_yoss Yossef,موقع ممتاز بس لسة مجاش الطلب هشوف واقيم من تانى,ar,3,positive,off_topic,other,none,"likes:0, comments:0",false,General app feedback unrelated to ID verification or the return flow.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=f86479b6-cd36-473f-a947-83678dc80b8e,play_store,2026-05-23T19:55:22+00:00,Malek Ahmed,التطبيق ده جامدددددد,ar,5,positive,off_topic,other,none,"likes:0, comments:0",false,User gives a positive general rating with no KYC-related content.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=b7349e77-3791-4a92-a21c-e7560065c79d,play_store,2026-05-23T19:06:25+00:00,خميس الشوربجي,👍👍👍,en,5,positive,off_topic,other,none,"likes:0, comments:0",false,User gives a positive general rating with no KYC-related content.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=de2d49ee-9d52-4f4b-9c2b-2a8ecb8f689a,play_store,2026-05-23T15:11:03+00:00,Amira Khorshed,كان أفضل تطبيق لكن للأسف أصبح سيئ,ar,1,negative,off_topic,other,none,"likes:0, comments:0",false,User leaves a negative review unrelated to identity verification.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=e152fe0e-b237-44dd-8ea9-79034482e56e,play_store,2026-05-23T14:20:38+00:00,Tamer Tamer,لا يوجد خدمة عملاء متاحة ،،تم سحب مرتجع وبعد 13يوم حالة المرتجع مفقود وخدمة العملاء غير متاحة,ar,1,negative,off_topic,other,none,"likes:0, comments:0",false,"User complains about customer service, unrelated to ID verification.",2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=49decd69-b8f0-4bee-b4a5-d1dc7158fd46,play_store,2026-05-23T13:45:25+00:00,احمد محمد,جيده,ar,5,positive,off_topic,other,none,"likes:0, comments:0",false,User gives a positive general rating with no KYC-related content.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=0252e24b-047e-41e8-adc1-be60cd24a244,play_store,2026-05-23T11:49:06+00:00,BosBos Elhawary,عمالي جدا جدا جدا,ar,5,positive,off_topic,other,none,"likes:0, comments:0",false,User gives a positive general rating with no KYC-related content.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=6c82c61e-91d5-46c1-81e0-ac13f909bf66,play_store,2026-05-23T10:53:10+00:00,Abdullah,طلبت ولها اكثر من سبوعين ماجت,ar,1,negative,off_topic,other,none,"likes:0, comments:0",false,User leaves a negative review unrelated to identity verification.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=9dffbf9c-70d6-4d47-a971-0a487370e9aa,play_store,2026-05-23T09:20:53+00:00,FeelingThere,تسجيل متعب ...,ar,1,negative,off_topic,other,none,"likes:0, comments:0",false,User leaves a negative review unrelated to identity verification.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=18b9fc7f-2f47-491e-baa2-04918c47e02d,play_store,2026-05-23T05:34:02+00:00,XXxxXX XXxxXX,كلشي غلي,ar,1,negative,off_topic,other,none,"likes:0, comments:0",false,User leaves a negative review unrelated to identity verification.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=47f59720-279c-4a71-8537-990af32a730d,play_store,2026-05-23T02:45:48+00:00,سعيد مفتاح,ممتاز,ar,5,positive,off_topic,other,none,"likes:0, comments:0",false,User gives a positive general rating with no KYC-related content.,2026-05-25T13:24:21.720435+00:00,
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&reviewId=720b5210-3030-43b1-88f7-626f0a131af8,play_store,2026-05-23T01:32:47+00:00,خالد القاضي,شركه محترمه جدا,ar,5,positive,off_topic,other,none,"likes:0, comments:0",false,User gives a positive general rating with no KYC-related content.,2026-05-25T13:24:21.720435+00:00,
