client_name,post_url,source,post_date,author,raw_text,language,rating,sentiment,feedback_type,product_area,severity,engagement,agreement_signal,claude_summary,scraped_at,quarantine_reason
Thndr,https://thndr.app/,web_ddg,,thndr.app,"Home Page - Thndr: Thndr is Gen-Z's way into the financial world. From the ease of registration, to the beautifully built User Interface, Thndr exceeds expectations at every step.",en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:05.955418+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://play.google.com/store/apps/details?id=com.axismarkets.thndr&hl=en-US,web_ddg,,play.google.com,Thndr: Invest your money - Apps on Google Play: 6 days ago · Thndr is licensed by the Egyptian Financial Regulatory Authority (FRA). This means that Thndr follows a set of rules that are designed to protect your investments in the Egyptian stock market &...,en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:05.955418+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://thundr.com/,web_ddg,,thundr.com,"Thundr: Best Random Video Chat App: Thundr is the best free video random chat app. Free one-on-one video or text chat, zero sign-up, AI-safe. Hit chat, meet strangers, vibe instantly.",en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:05.955418+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://www.thndr.games/,web_ddg,,www.thndr.games,"Bitcoin Games - THNDR Games: Play to earn bitcoin games! Simple, fun and free! Download one of our mobile bitcoin games today! Available on the App Store or Google Play! Play now!",en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:05.955418+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://theqa.reviews/reviews/تقييم-THNDR,web_ddg,,theqa.reviews,"تقييم تطبيق ثاندر THNDR، هل ثاندر نصب ولماذا؟ - موقع ثقة: Apr 29, 2026 · ثاندر ""THNDR"" هو تطبيق وساطة مالية مملوك لشركة ""Axis Markets B.V"" يتيح للمستثمرين التداول في البورصة المصرية والأمريكية؛ للتداول في الأسهم المصرية وصناديق الاستثمار والذهب.",ar-en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:05.955418+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://www.facebook.com/thndrapp/,web_ddg,,www.facebook.com,"Thndr ثاندر - Facebook: ‎ Thndr ثاندر‎. 266,776 likes · 8,252 talking about this. ‎ ثاندر أسهل طريقة تشغل فلوسك في أسهم الشركات وصناديق الاستثمار و الدهب 💸‎",ar-en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:05.955418+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://thndr.en.uptodown.com/android,web_ddg,,thndr.en.uptodown.com,Thndr for Android - Download the APK from Uptodown: 1 day ago · Thndr is an innovative investment platform that opens up the U.S. stock market to users looking to invest in their favorite companies with unparalleled ease. With no requirement for an account …,en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:05.955418+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://www.linkedin.com/company/thndrapp/,web_ddg,,www.linkedin.com,Thndr - LinkedIn: Thndr is a digital investment platform that is designed to simplify investing. Thndr facilitates access to the right tools and resources that can empower investors with the means to achieve ...,en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:05.955418+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://www.thndrx.com/en/web/login,web_ddg,,www.thndrx.com,Login - ThndrX: كيف يمكننا مساعدتك؟ تواصل معنا في أي وقت أرسل لنا رسالة info@thndrx.com thndrx@outlook.sa,ar-en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:05.955418+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://www.appbrain.com/appstore/thndr-invest-your-money/ios-1494883259,web_ddg,,www.appbrain.com,Thndr: Invest Your Money for iPhone - Free App Download: 5 days ago · Thndr Learn Investing is explained simply with easy-to-understand financial content and the chance to practice investing strategies with our stock market simulator.,en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:05.955418+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://thndr.app/ar/eg/,web_ddg,,thndr.app,الصفحة الرئيسية - ثاندر: الحماية ثاندر مرخصة من الهيئة العامة للرقابة المالية. هذا يعني أننا نتبع مجموعة من القواعد والقوانين المصممة لحمايتك كمستثمر. الدعم الفني للمستخدمين,ar,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:15.401321+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://apps.apple.com/eg/app/thndr-ثاندر/id1494883259?l=ar,web_ddg,,apps.apple.com,تطبيق Thndr - ثاندر‬ - App Store: تعليم الاستثمار من ثاندر: تطبيق ثاندر يقدم لك منصة تعليمية لشرح كل ما يتعلق بالاستثمار، واستراتيجيات الاستثمار المختلفة، وسوق الأسهم، والبورصة المصرية من …,ar-en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:15.401321+00:00,"web_ddg retired: search snippet, not a user review."
Thndr,https://www.youtube.com/@thndrapp,web_ddg,,www.youtube.com,Thndr | ثاندر - YouTube: ثاندر أسهل طريقة تشغل فلوسك في أسهم أو صناديق استثمارثاندر تطبيق سهل الاستخدام معمول مخصوص لتسهيل وتبسيط ...,ar-en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:15.401321+00:00,"web_ddg retired: search snippet, not a user review."
Klivvr,https://www.wikipedia.de/,web_ddg,,www.wikipedia.de,"Wikipedia, die freie Enzyklopädie: Wir sind der gemeinnnützige Verein hinter der Wikipedia und unterstützen die Ehrenamtlichen, sichern und entwickeln die technische Infrastruktur und setzen uns für den freien Zugang zu Wissen ein.",en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:29.152417+00:00,"web_ddg retired: search snippet, not a user review."
Klivvr,https://bbb.wikipedia.de/rooms/uk8-3ex-nad-tua/join,web_ddg,,bbb.wikipedia.de,"BigBlueButton - bbb.wikipedia.de: Learn using BigBlueButton, the trusted open-source web conferencing solution that enables seamless virtual collaboration and online learning experiences.",en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:29.152417+00:00,"web_ddg retired: search snippet, not a user review."
Klivvr,https://www.wikipedia.de/suggest.php,web_ddg,,www.wikipedia.de,"Wikipedia: Wikipedia ist eine freie Enzyklopädie, die von Freiwilligen erstellt wird und freien Zugang zu Wissen bietet.",en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:29.152417+00:00,"web_ddg retired: search snippet, not a user review."
Klivvr,https://ticker.wikipedia.de/,web_ddg,,ticker.wikipedia.de,Spenden-Kommentar-Ticker: Herbstkampagne 2022 Spendenkommentare Letzte Kommentare,en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:29.152417+00:00,"web_ddg retired: search snippet, not a user review."
Klivvr,https://bbb.wikipedia.de/rooms/dmd-dus-t0d-fgv/join,web_ddg,,bbb.wikipedia.de,"offene Kulturdaten - bbb.wikipedia.de: Learn using BigBlueButton, the trusted open-source web conferencing solution that enables seamless virtual collaboration and online learning experiences.",en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:29.152417+00:00,"web_ddg retired: search snippet, not a user review."
Klivvr,https://bbb.wikipedia.de/signup,web_ddg,,bbb.wikipedia.de,"BigBlueButton - bbb.wikipedia.de: Learn using BigBlueButton, the trusted open-source web conferencing solution that enables seamless virtual collaboration and online learning experiences.",en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:29.152417+00:00,"web_ddg retired: search snippet, not a user review."
Klivvr,https://www.amazon.com/gp/help/customer/display.html?nodeId=G5D4TA7NBKQT7GW2,web_ddg,,www.amazon.com,"Redeem an Amazon Gift Card - Amazon Customer Service: When you redeem an Amazon.com Gift Card to your account, the funds are stored in Your Account and will automatically apply to your next eligible order.",en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:29.152417+00:00,"web_ddg retired: search snippet, not a user review."
Klivvr,https://www.amazon.com/gp/help/customer/display.html?nodeId=G6LDPN7YJHYKH2J6,web_ddg,,www.amazon.com,"Amazon Prime Benefits & Membership Details - Amazon Customer …: Discover the perks of Amazon Prime membership, including fast and free shipping, exclusive deals, streaming, and more. Learn about Amazon Prime benefits and sign up today!",en,,parse_error,parse_error,parse_error,parse_error,,false,enrichment_failed,2026-06-14T07:23:29.152417+00:00,"web_ddg retired: search snippet, not a user review."
